CB Constituent ID,CB Email 1 (Standardized),CB Email 2 (Standardized)
1089,samantha08@hotmail.com,andrewsrandy@howard.com
1102,warrendaniel@gmail.com,xwilson@olsen-morgan.org
1288,fsteele@hotmail.com,ellendavis@smith.com
1348,thomassamuel@gmaill.com,
1459,millersherry@gmaill.com,millernicole@stanley-harris.com
1550,harrypatterson@yahoo.com,
1825,javierperez@davis.com,jon30@tate.biz
1854,mayertammy@collins-vasquez.org,stephaniewu@gmail.com
2014,walkerlindsey@lewis.com,
2085,smalljessica@hotmail.com,tonyagutierrez@wheeler.com
2136,brittney12@lee-williamson.org,qkoch@gmal.com
2173,lance98@hotmail.com,
2382,,
2433,shelby30@olsen-oliver.com,johnbrown@gmail.com
2481,carrie32@forbes.com,donald21@houston.com
2581,alyssagarcia@gmail.com,steven65@jackson.com
2596,,
2686,oarmstrong@gmail.com,
2737,,
2798,tarasanchez@robinson.com,cgreen@hotmail.com
2936,lawrence72@olson.com,tsuarez@ford.net
2976,ssanders@hotmail.com,
3054,yjohns@bass.com,
3140,bday@odom-archer.com,
3141,xhubbard@garcia.biz,simpsonluis@williams.com
3194,collierdiana@ortiz.com,
3203,katiecarr@daniels-olsen.com,
3240,hartjames@hotmail.com,hhoward@silva.org
3434,alejandro66@patrick-curry.biz,mooresusan@yaho.com
3446,,
3506,traciemcpherson@palmer.com,
3514,christopher25@rodriguez.com,plam@hotmail.com
3561,campbellchristina@yahoo.com,fishermaureen@walsh-davis.info
3660,wcochran@hotmail.com,mckeeeric@ellis.com
3677,april70@hernandez.biz,brownjames@harris-orozco.info
3927,charles63@ramos.com,doughertyjesse@gmaill.com
3953,greg46@hotmail.com,gregoryschmidt@outlok.com
3973,kaylaprice@york-vance.com,
4036,,
4039,emilylopez@yahoo.com,brandy72@mcguire.net
4051,william10@hotmail.com,barrettsean@yahoo.com
4107,cooleyaustin@solis.com,
4348,cmarshall@hobbs.net,
4526,reeveslinda@underwood.com,
4566,cynthiarogers@moore.info,
4615,,
4646,edward64@hotmail.com,watsonzachary@gonzalez-ochoa.com
4651,,
4668,ereese@hotmail.com,powellrebecca@powell.biz
4862,dwood@martinez.com,robynmooney@hotmail.com
4926,,
4944,gdickerson@gmal.com,
5032,simpsondouglas@ortiz-miles.net,allen24@yahoo.com
5034,,
5049,sperez@martinez.com,mendezmichelle@joseph-harris.info
5287,theodorewilson@blair.com,stephenweeks@barron.com
5301,corey36@gmail.com,zacharywilliams@hotmail.com
5321,flowersdavid@hotmail.com,kevin68@gmal.com
5418,wustephanie@hotmail.com,
5767,richard99@hampton.com,
5966,frazierjanice@gmaill.com,gmartinez@koch.org
5967,lisa94@wong.biz,marktorres@yahoo.com
6020,,
6197,antoniomalone@gmail.com,xjackson@hotmail.com
6339,mckaylinda@hotmail.com,
6366,bjones@hotmail.com,xavierwhite@arnold-taylor.net
6522,andrea62@gmail.com,gpayne@hotmail.com
6523,browneric@patton.biz,
6586,rubenwelch@yahoo.com,kevinmoore@jackson.com
6605,wesleyjones@gibson.com,jamesharrison@ray-sherman.com
6801,thomaswelch@adams-castillo.com,james92@hotmail.com
6816,kharris@yahoo.com,calhouneric@yahoo.com
6822,,
6846,andreahines@yahoo.com,courtneychang@hotmail.com
7022,ujackson@reed-perez.com,mmckinney@yahoo.com
7040,vanessa45@yaho.com,
7103,michellelane@cox.com,garystevens@yaho.com
7358,,
7369,jacob66@yahoo.com,snydertanya@smith.biz
7497,robertmunoz@hotmail.com,
7564,yolson@gmaill.com,
7963,daniel74@bryan.com,
8101,howardcarlos@gmail.com,
8161,dwilliams@hotmail.com,
8265,lkelly@butler-bradford.biz,jessicaramirez@kim-clark.com
8308,jennifernorton@hotmail.com,langtanya@gmal.com
8309,,
8361,umalone@yahoo.com,daltonmichael@gmaill.com
8548,laurenfields@yahoo.com,oserrano@hotmail.com
8977,walkerjeremy@long.org,hfoster@yahoo.com
9139,victoria52@galvan.com,adrian20@chang.com
9153,deantravis@russo-nelson.org,burnsamber@luna-solis.net
9432,joshuaparker@hotmal.com,perezsarah@yahoo.com
9655,christopher66@gmail.com,garciamark@parker.info
9734,victoria10@gmal.com,hansonchristine@hotmail.com
9821,klinejose@gmail.com,brittanybenson@galvan.com
9827,ryan82@yahoo.com,mark55@yahoo.com
9859,michael43@hall-lee.com,harperluke@gmail.com
9965,kelly82@solomon.info,amber39@johnson.net
