CB Constituent ID,CB Constituent Type,CB First Name,CB Last Name,CB Company Name,CB Created At,CB Email 1 (Standardized),CB Email 2 (Standardized),CB Title,CB Tags,CB Background Information,CB Lifetime Donation Amount,CB Most Recent Donation Date,CB Most Recent Donation Amount
1089,Person,Erica,Simmons,,2016-04-16T00:00:00,samantha08@hotmail.com,andrewsrandy@howard.com,Mrs.,"Major Donor, Student Scholar, Summer 2016",Job Title: Business Analyst; Marital Status: Single,$1550.00,2018-10-07T00:00:00,$500.00
1102,Person,Michael,Munoz,,2019-06-17T00:00:00,warrendaniel@gmail.com,xwilson@olsen-morgan.org,,"Board Member, Major Donor, Summer 2016",,$5350.00,2023-11-30T00:00:00,$100.00
1288,Person,Rebecca,Maynard,,2021-06-23T00:00:00,fsteele@hotmail.com,ellendavis@smith.com,Mrs.,"Major Donor, Summer 2016",Job Title: Data Scientist; Marital Status: Single,$700.00,2023-04-01T00:00:00,$100.00
1348,Person,Robert & Emily,Patton,,2016-12-12T00:00:00,thomassamuel@gmaill.com,,,,Marital Status: Single,$3600.00,2023-03-18T00:00:00,$100.00
1459,Person,Katherine,Jones,,2022-08-06T00:00:00,millersherry@gmaill.com,millernicole@stanley-harris.com,,"Major Donor, Pitch Perfect, Summer 2016",Job Title: Software Engineer; Marital Status: Single,$25000.00,2021-04-28T00:00:00,$10000.00
1550,Person,Laura,Harrison,,2017-12-07T12:34:00,harrypatterson@yahoo.com,,,"Board Member, Major Donor, Student Scholar",,$20100.00,2024-12-28T00:00:00,$10000.00
1825,Company,,,"Villanueva, Bowen and Smith",2016-11-07T00:00:00,javierperez@davis.com,jon30@tate.biz,Mr.,Student Scholar,Marital Status: Single,$11500.00,2021-09-10T00:00:00,$10000.00
1854,Person,Ricky,David,,2020-08-03T00:00:00,mayertammy@collins-vasquez.org,stephaniewu@gmail.com,Dr.,"Pitch Perfect, Student Scholar, Summer 2016",Marital Status: Single,$15050.00,2023-02-02T00:00:00,$5000.00
2014,Person,Amanda,Kelley,,2016-11-10T00:00:00,walkerlindsey@lewis.com,,Mr.,"Board Member, Pitch Perfect, Student Scholar, Summer 2016, VIP",,$650.00,2022-03-01T00:00:00,$500.00
2085,Person,David,Smith,,2015-10-13T00:00:00,smalljessica@hotmail.com,tonyagutierrez@wheeler.com,,"Pitch Perfect, Summer 2016",Marital Status: Married,$350.00,2019-03-22T00:00:00,$250.00
2136,Person,Regina,Webb,,2020-12-19T00:00:00,brittney12@lee-williamson.org,qkoch@gmal.com,Dr.,,Job Title: Marketing Manager; Marital Status: Married,$200.00,2024-05-15T00:00:00,$100.00
